unix,Low,High,Open,Close,Volume,Date,vol_fiat
1618704000,1520.0,1744.67,1692.06,1679.72,7677.78126593,2021-04-18,12896522.74800794
1618617600,1689.93,1806.71,1755.24,1691.66,8643.16249869,2021-04-17,14621292.272533927
1618531200,1673.83,1850.0,1828.65,1755.51,17142.04631348,2021-04-16,30093033.723777276
1618444800,1742.92,1848.92,1767.14,1827.85,10827.83499615,2021-04-15,19791658.19771278
1618358400,1662.99,1779.98,1676.47,1768.73,15843.01024752,2021-04-14,28022007.51509605
1618272000,1556.52,1689.0,1560.25,1676.47,12694.91005425,2021-04-13,21282635.858648498
1618185600,1533.33,1600.4,1571.52,1557.37,8038.06473074,2021-04-12,12518240.869712554
1618099200,1537.0,1579.99,1559.82,1571.52,7681.65817579,2021-04-11,12071879.456417501
1618012800,1504.29,1588.55,1509.54,1558.19,9404.3617529,2021-04-10,14653782.439751253
1617926400,1493.89,1531.33,1513.16,1509.71,5101.8165053,2021-04-09,7702263.396216463
1617840000,1421.23,1515.85,1432.0,1513.74,5887.50584172,2021-04-08,8912153.092845233
1617753600,1402.01,1540.65,1529.27,1432.83,14877.19426735,2021-04-07,21316490.2620871
1617667200,1479.0,1545.0,1514.27,1529.27,11720.06899743,2021-04-06,17923149.915699776
1617580800,1451.54,1530.0,1504.82,1514.58,8684.70332695,2021-04-05,13153677.964931931
1617494400,1439.94,1520.0,1458.4,1503.75,6861.88942661,2021-04-04,10318566.225264788
1617408000,1455.2,1545.75,1541.5,1459.99,11366.53830144,2021-04-03,16595032.254719386
1617321600,1409.4,1549.98,1425.69,1542.66,13462.6504088,2021-04-02,20768292.279639408
1617235200,1365.92,1434.99,1395.4,1424.18,10634.77467486,2021-04-01,15145833.396442115
1617148800,1289.3,1411.75,1341.31,1394.42,13551.48099592,2021-03-31,18896456.130330767
1617062400,1296.8,1351.21,1316.9,1341.47,6748.26442442,2021-03-30,9052594.277426697
1616976000,1218.18,1334.0,1223.24,1317.56,10838.4517465,2021-03-29,14280310.48311854
1616889600,1205.5,1251.61,1243.23,1223.26,5359.74062098,2021-03-28,6556356.3120199945
1616803200,1207.99,1255.76,1233.27,1242.41,5129.62954934,2021-03-27,6373103.04839551
1616716800,1156.37,1233.82,1156.37,1233.53,8939.01859472,2021-03-26,11026547.607144963
1616630400,1134.41,1185.42,1157.08,1156.11,11388.91572381,2021-03-25,13166839.357453978
1616544000,1130.02,1269.47,1216.32,1157.49,14251.76314877,2021-03-24,16496273.327069787
1616457600,1196.71,1252.24,1216.87,1216.17,9400.24001465,2021-03-23,11432289.898616891
1616371200,1198.4,1305.0,1290.17,1216.25,11551.78232624,2021-03-22,14049855.2542894
1616284800,1264.73,1312.0,1303.94,1289.44,8169.45564357,2021-03-21,10534022.8850449
1616198400,1301.08,1345.89,1307.48,1304.53,5773.35913651,2021-03-20,7531520.19435139
1616112000,1248.2,1327.5,1276.8,1306.27,8583.72810661,2021-03-19,11212666.513821445
1616025600,1265.88,1324.98,1304.8,1277.44,9357.41912051,2021-03-18,11953541.481304295
1615939200,1256.82,1318.97,1300.68,1304.51,8757.32179227,2021-03-17,11424013.851234138
1615852800,1231.91,1317.0,1294.38,1299.0,11031.71142057,2021-03-16,14330193.13532043
1615766400,1247.35,1357.8,1329.25,1293.93,19755.01466761,2021-03-15,25561606.12886061
1615680000,1316.67,1382.49,1375.49,1330.17,10265.32042072,2021-03-14,13654621.264029123
1615593600,1244.85,1391.98,1267.76,1375.31,16896.79931896,2021-03-13,23238337.071358874
1615507200,1240.46,1317.0,1308.17,1268.99,10541.14189014,2021-03-12,13376603.647168757
1615420800,1239.0,1320.0,1288.68,1307.44,11497.43590889,2021-03-11,15032207.604719141
1615334400,1266.15,1354.89,1347.5,1289.25,14573.19233073,2021-03-10,18788488.212393653
1615248000,1300.1,1348.38,1326.71,1348.06,13204.52605575,2021-03-09,17800493.394714344
1615161600,1205.23,1332.76,1245.41,1325.45,14528.66717729,2021-03-08,19257021.91013903
1615075200,1178.99,1250.29,1191.05,1245.56,11055.025316,2021-03-07,13769697.332596958
1614988800,1097.45,1208.0,1104.25,1190.95,16173.14473364,2021-03-06,19261406.720528558
1614902400,1043.0,1120.0,1109.47,1105.11,16394.93110534,2021-03-05,18118202.313822288
1614816000,1085.75,1166.49,1128.33,1109.56,14854.63377502,2021-03-04,16482107.45141119
1614729600,1059.02,1185.51,1066.39,1128.71,15686.2590003,2021-03-03,17705237.396228615
1614643200,1044.56,1156.36,1129.13,1067.56,17436.6880302,2021-03-02,18614710.67352031
1614556800,1010.48,1130.63,1016.71,1129.0,18174.25573367,2021-03-01,20518734.723313432
1614470400,932.54,1057.18,1052.05,1017.78,31436.25676439,2021-02-28,31995193.409660853
1614384000,1027.98,1096.6,1038.62,1052.62,12432.5898623,2021-02-27,13086792.740854224
1614297600,990.0,1122.84,1060.11,1040.05,24055.50366328,2021-02-26,25018926.584994365
1614211200,1042.95,1180.99,1150.37,1060.11,15214.94456,2021-02-25,16129514.877501598
1614124800,1064.27,1214.0,1120.04,1150.27,24566.18823802,2021-02-24,28257749.344547264
1614038400,952.0,1270.32,1265.0,1118.84,75496.30040904,2021-02-23,84468280.74965031
1613952000,1085.7,1385.0,1383.43,1265.0,59218.70284844,2021-02-22,74911659.1032766
1613865600,1352.28,1418.35,1372.84,1383.26,12160.37951102,2021-02-21,16820966.562413525
1613779200,1300.0,1456.18,1400.18,1372.84,28494.29103179,2021-02-20,39118102.50008258
1613692800,1358.26,1410.0,1390.69,1398.9,14990.66063737,2021-02-19,20970435.165616892
1613606400,1338.58,1397.99,1339.22,1390.64,16466.20868445,2021-02-18,22898568.44494355
1613520000,1249.45,1342.0,1288.0,1338.33,14021.70719758,2021-02-17,18765671.39373724
1613433600,1241.15,1309.22,1283.17,1287.21,13467.24846123,2021-02-16,17335176.89177987
1613347200,1206.0,1321.5,1305.35,1280.8,17741.95876259,2021-02-15,22723900.78312527
1613260800,1298.0,1338.2,1317.09,1305.21,10800.51891902,2021-02-14,14096945.298294095
1613174400,1281.5,1354.01,1334.44,1318.18,12073.95011859,2021-02-13,15915639.567322968
1613088000,1262.57,1350.0,1294.0,1333.68,17567.76255561,2021-02-12,23429773.565165944
1613001600,1235.46,1312.63,1261.37,1294.0,14595.65538687,2021-02-11,18886778.07060978
1612915200,1213.2,1332.61,1283.52,1260.22,23967.594634,2021-02-10,30204442.10965948
1612828800,1245.0,1328.27,1276.32,1284.34,22569.244138,2021-02-09,28986583.016198914
1612742400,1141.0,1293.8,1176.14,1275.65,27826.27430106,2021-02-08,35496586.81214719
