unix,Low,High,Open,Close,Volume,Date,vol_fiat
1618704000,190.0,222.69,220.16,204.25,28142.52295344,2021-04-18,5748110.31324012
1618617600,216.61,243.37,224.78,219.78,50479.07728395,2021-04-17,11094291.605466532
1618531200,193.36,229.98,207.8,223.48,64922.14565948,2021-04-16,14508801.11198059
1618444800,193.47,211.3,203.22,207.74,23584.82891587,2021-04-15,4899512.358982834
1618358400,185.7,205.74,195.58,203.07,36250.38508533,2021-04-14,7361365.6992779635
1618272000,178.36,199.0,178.36,195.21,22660.72225386,2021-04-13,4423599.591176011
1618185600,174.97,188.27,184.82,178.76,23674.69760695,2021-04-12,4232088.944218382
1618099200,178.88,191.24,187.27,184.46,25282.86219336,2021-04-11,4663676.760187186
1618012800,160.07,187.11,161.59,186.89,34522.76552764,2021-04-10,6451959.649460639
1617926400,159.18,166.46,164.71,161.84,9063.49912118,2021-04-09,1466836.6977717713
1617840000,158.19,165.85,159.83,164.66,9938.62075264,2021-04-08,1636493.2931297023
1617753600,153.0,175.93,171.75,159.85,42076.93290266,2021-04-07,6725997.724490201
1617667200,154.0,176.82,159.5,171.5,47487.3980302,2021-04-06,8144088.762179299
1617580800,143.37,161.66,146.64,159.25,25585.05337057,2021-04-05,4074419.7492632726
1617494400,139.92,148.74,141.95,146.57,7793.14697673,2021-04-04,1142241.552379316
1617408000,141.71,157.34,153.06,141.83,19926.44590031,2021-04-03,2826167.822040967
1617321600,145.31,154.38,147.29,152.87,13566.64962213,2021-04-02,2073933.7277350132
1617235200,141.23,148.24,143.37,147.17,11516.90770607,2021-04-01,1694943.3071023219
1617148800,136.37,144.77,142.41,143.12,12240.2828861,2021-03-31,1751829.286658632
1617062400,138.15,145.45,140.88,142.3,15458.29553215,2021-03-30,2199715.454224945
1616976000,132.72,143.01,133.65,140.88,10959.95684043,2021-03-29,1544038.7196797784
1616889600,130.57,135.63,133.72,133.74,4350.32609496,2021-03-28,581812.6119399504
1616803200,129.0,134.82,133.48,133.82,4435.95410808,2021-03-27,593619.3787432655
1616716800,125.29,133.52,125.29,133.32,12751.42424014,2021-03-26,1700019.8796954649
1616630400,121.58,130.48,128.41,125.2,22742.07456528,2021-03-25,2847307.735573056
1616544000,126.29,143.75,135.79,128.58,22356.10596367,2021-03-24,2874548.104808689
1616457600,131.84,137.47,134.48,135.78,11444.53725141,2021-03-23,1553939.2679964497
1616371200,133.64,143.9,141.74,134.25,17880.404938,2021-03-22,2400444.3629265
1616284800,139.03,145.75,144.64,141.52,10998.64236234,2021-03-21,1556527.867118357
1616198400,143.7,148.35,144.53,144.66,9463.77168421,2021-03-20,1369029.2118378186
1616112000,141.03,147.33,143.5,144.53,8412.36795395,2021-03-19,1215839.5403843937
1616025600,143.12,149.19,147.51,143.56,13417.34304468,2021-03-18,1926193.7674942608
1615939200,140.12,148.96,145.2,147.5,17147.99474793,2021-03-17,2529329.2253196747
1615852800,138.1,148.64,145.46,145.05,18696.00723246,2021-03-16,2711855.849068323
1615766400,142.44,159.39,153.73,144.43,23009.55496499,2021-03-15,3323270.023593506
1615680000,153.55,163.14,162.05,154.16,13069.78387821,2021-03-14,2014837.8826648537
1615593600,153.18,164.7,158.42,161.75,19691.76980748,2021-03-13,3185143.76635989
1615507200,142.41,161.06,143.98,158.33,33150.65976425,2021-03-12,5248743.960473702
