unix,Low,High,Open,Close,Volume,Date,vol_fiat
1618704000,5.3792,6.9313,6.8931,6.2518,128479.5,2021-04-18,803228.1381
1618617600,6.7942,7.54,7.3369,6.879,96814.3,2021-04-17,665985.5697
1618531200,6.5204,7.6995,7.15,7.3243,222428.2,2021-04-16,1629130.86526
1618444800,6.615,7.14,6.7282,7.0756,102384.6,2021-04-15,724432.4757600001
1618358400,6.4183,7.26,6.9334,6.7313,131631.0,2021-04-14,886047.7503
1618272000,6.5584,7.0932,6.8542,6.9809,71578.0,2021-04-13,499678.8602
1618185600,6.6366,7.0922,7.0394,6.821,101200.1,2021-04-12,690285.8821
1618099200,6.8904,7.3485,7.27,7.0294,68602.7,2021-04-11,482235.81937999994
1618012800,7.049,8.25,7.5782,7.3054,170081.1,2021-04-10,1242510.46794
1617926400,6.9366,8.1,7.4161,7.6214,227244.0,2021-04-09,1731917.4216
1617840000,6.5673,7.4614,7.2152,7.4336,401157.4,2021-04-08,2982043.6486400003
1617753600,6.2875,8.1606,6.8367,7.2797,613547.6,2021-04-07,4466442.463719999
1617667200,5.9152,6.9677,6.2801,6.7846,215627.7,2021-04-06,1462947.6934200001
1617580800,5.7498,6.3407,5.7498,6.2699,183164.7,2021-04-05,1148424.35253
1617494400,4.8113,5.8,4.8832,5.7498,169097.7,2021-04-04,972277.95546
1617408000,4.8832,5.4811,5.4275,4.9,94264.3,2021-04-03,461895.07000000007
1617321600,5.1268,5.5636,5.358,5.4334,118350.6,2021-04-02,643046.15004
1617235200,5.3051,5.8489,5.7726,5.3164,137651.4,2021-04-01,731809.90296
1617148800,4.7352,6.0743,4.8766,5.7557,457080.0,2021-03-31,2630815.356
1617062400,4.7957,5.3154,5.0122,4.866,197836.7,2021-03-30,962673.3822
1616976000,4.2634,5.1862,4.2634,4.99,303178.3,2021-03-29,1512859.717
1616889600,3.8216,4.5119,3.8666,4.2693,211296.2,2021-03-28,902086.8666600002
1616803200,3.7778,3.9641,3.8521,3.871,30368.2,2021-03-27,117555.3022
1616716800,3.6256,3.8621,3.6256,3.8521,57557.7,2021-03-26,221718.01617
1616630400,3.429,3.7518,3.701,3.6227,168201.8,2021-03-25,609344.66086
1616544000,3.6161,4.3004,4.1917,3.7209,85778.7,2021-03-24,319173.96482999995
1616457600,3.7458,4.2236,3.7865,4.1723,93557.4,2021-03-23,390349.54001999996
1616371200,3.7992,4.2358,4.02,3.8,93834.8,2021-03-22,356572.24
1616284800,3.891,4.1351,4.0801,4.0383,90728.2,2021-03-21,366387.69005999994
1616198400,4.0776,4.3672,4.2622,4.1087,64933.1,2021-03-20,266790.62797
1616112000,4.1924,4.57,4.3614,4.255,120395.8,2021-03-19,512284.129
1616025600,3.9518,4.4447,4.0129,4.3757,199956.7,2021-03-18,874950.53219
1615939200,3.6427,4.026,3.7367,4.0109,198970.2,2021-03-17,798049.5751800002
1615852800,3.4498,3.7406,3.6113,3.7387,71281.5,2021-03-16,266500.14405
1615766400,3.4607,3.8239,3.6575,3.6068,129283.6,2021-03-15,466300.08848
1615680000,3.65,3.8802,3.8256,3.6535,48004.5,2021-03-14,175384.44075
1615593600,3.4972,3.8607,3.6383,3.8139,88973.6,2021-03-13,339336.41304
1615507200,3.5592,3.9376,3.7421,3.6661,160138.3,2021-03-12,587083.02163
1615420800,3.4483,3.7418,3.6488,3.7418,119734.8,2021-03-11,448023.67464000004
1615334400,3.5809,3.9261,3.9086,3.636,120152.2,2021-03-10,436873.3992
1615248000,3.6825,3.99,3.7422,3.9011,154178.8,2021-03-09,601466.9166799999
1615161600,3.565,3.78,3.7028,3.75,80279.0,2021-03-08,301046.25
